ccode,year,Fd1y,Fd2y,Fd3y,Fd4y,Fd5y,Fd6y,R_B,R_N,L1R_B,L2R_B,L3R_B,L1R_N,L2R_N,L3R_N,D1y,L1D1y,L2D1y,L3D1y,D1d_y,L1D1d_y,L2D1d_y,L3D1d_y
826,1892,0,.065208331,.096284203,.13716185,.15042461,.19802201,0,0,0,0,0,0,0,0,-.024206931,0,.004494403,.05240025,.0029539999,.035498001,-.00088800001,-.0034749999
826,1893,.065208331,.096284203,.13716185,.15042461,.19802201,.23864302,0,0,0,0,0,0,0,0,0,-.024206931,0,.004494403,.0028520001,.0029539999,.035498001,-.00088800001
826,1894,.031075871,.07195352,.085216291,.13281369,.1734347,.16617082,0,0,0,0,0,0,0,0,.065208331,0,-.024206931,0,-.018069001,.0028520001,.0029539999,.035498001
826,1895,.040877651,.054140422,.10173782,.14235882,.13509494,.13509485,0,0,0,0,0,0,0,0,.031075871,.065208331,0,-.024206931,.010298,-.018069001,.0028520001,.0029539999
826,1896,.01326277,.060860168,.10148117,.094217278,.094217189,.11941347,0,0,0,0,0,0,0,0,.040877651,.031075871,.065208331,0,.0067409999,.010298,-.018069001,.0028520001
826,1897,.047597397,.088218406,.080954514,.080954425,.10615071,.095429994,0,0,0,0,0,0,0,0,.01326277,.040877651,.031075871,.065208331,.00057700003,.0067409999,.010298,-.018069001
826,1898,.040621005,.033357114,.033357028,.058553312,.047832593,.053802751,0,0,0,0,0,0,0,0,.047597397,.01326277,.040877651,.031075871,-.0054819998,.00057700003,.0067409999,.010298
826,1899,-.0072638895,-.0072639761,.017932307,.0072115902,.013181746,.04250931,0,0,0,0,0,0,0,0,.040621005,.047597397,.01326277,.040877651,-.001387,-.0054819998,.00057700003,.0067409999
826,1900,-8.6551694e-08,.025196198,.014475482,.020445637,.049773201,.082749546,0,0,0,0,0,0,0,0,-.0072638895,.040621005,.047597397,.01326277,-.0048580002,-.001387,-.0054819998,.00057700003
826,1901,.025196284,.014475567,.020445723,.049773287,.082749628,.1015867,0,0,0,0,0,0,0,0,-8.6551694e-08,-.0072638895,.040621005,.047597397,-.0073990002,-.0048580002,-.001387,-.0054819998
826,1902,-.010720717,-.0047505605,.024577003,.057553343,.076390415,.034927905,0,0,0,0,0,0,0,0,.025196284,-8.6551694e-08,-.0072638895,.040621005,-.001427,-.0073990002,-.0048580002,-.001387
826,1903,.0059701563,.035297722,.068274066,.087111138,.045648627,.068273991,0,0,0,0,0,0,0,0,-.010720717,.025196284,-8.6551694e-08,-.0072638895,.011202,-.001427,-.0073990002,-.0048580002
826,1904,.029327564,.062303904,.08114098,.039678469,.06230383,.093143396,0,0,0,0,0,0,0,0,.0059701563,-.010720717,.025196284,-8.6551694e-08,-.001547,.011202,-.001427,-.0073990002
826,1905,.032976341,.051813412,.010350902,.032976262,.063815832,.092679337,0,0,0,0,0,0,0,0,.029327564,.0059701563,-.010720717,.025196284,-.010186,-.001547,.011202,-.001427
826,1906,.018837072,-.022625439,-7.8231096e-08,.030839488,.059702996,.074347705,0,0,0,0,0,0,0,0,.032976341,.029327564,.0059701563,-.010720717,.001278,-.010186,-.001547,.011202
826,1907,-.041462511,-.01883715,.012002416,.040865924,.055510629,.093212411,0,0,0,0,0,0,0,0,.018837072,.032976341,.029327564,.0059701563,-.0049740002,.001278,-.010186,-.001547
826,1908,.022625361,.053464927,.082328439,.096973144,.13467494,,0,0,0,0,0,0,0,0,-.041462511,.018837072,.032976341,.029327564,.0062859999,-.0049740002,.001278,-.010186
826,1909,.030839566,.059703074,.074347779,.11204956,,,0,0,0,0,0,0,0,0,.022625361,-.041462511,.018837072,.032976341,-.00232,.0062859999,-.0049740002,.001278
826,1910,.028863508,.043508213,.081210002,,,,0,0,0,0,0,0,0,0,.030839566,.022625361,-.041462511,.018837072,.008192,-.00232,.0062859999,-.0049740002
826,1919,-.06236051,-.14707303,-.096698649,-.065530092,-.025089074,.022538975,0,0,,,,,,,-.11502625,,,,,,,
826,1920,-.08471252,-.034338139,-.003169585,.037271433,.084899485,.047382798,0,1,0,,,0,,,-.06236051,-.11502625,,,-.0077209999,,,
826,1921,.050374381,.081542939,.12198396,.16961201,.13209532,.20950338,0,0,0,0,,1,0,,-.08471252,-.06236051,-.11502625,,.028549001,-.0077209999,,
826,1922,.031168554,.071609572,.11923762,.081720933,.15912899,.17116053,0,0,0,0,0,0,1,0,.050374381,-.08471252,-.06236051,-.11502625,.012569,.028549001,-.0077209999,
