COUNTDUMS,halfyear,f0LNGDP,f1LNGDP,f2LNGDP,f3LNGDP,f4LNGDP,f5LNGDP,f6LNGDP,f7LNGDP,f8LNGDP,f9LNGDP,f10LNGDP,CRISIS,l1LNGDP,l2LNGDP,l3LNGDP,l4LNGDP,l1CRISIS,l2CRISIS,l3CRISIS,l4CRISIS
1,56,1300.601468433337,1301.314779515234,1303.457033866001,1306.610126173338,1307.110870386046,1308.069305522464,1308.182845280056,1306.590469213817,1307.132010694346,1308.691404496547,1311.591614943725,0,1296.881033835724,1294.324554014256,1292.348207500196,1291.907356276156,0,0,0,0
1,57,1301.314779515234,1303.457033866001,1306.610126173338,1307.110870386046,1308.069305522464,1308.182845280056,1306.590469213817,1307.132010694346,1308.691404496547,1311.591614943725,1312.95295873952,0,1300.601468433337,1296.881033835724,1294.324554014256,1292.348207500196,0,0,0,0
1,58,1303.457033866001,1306.610126173338,1307.110870386046,1308.069305522464,1308.182845280056,1306.590469213817,1307.132010694346,1308.691404496547,1311.591614943725,1312.95295873952,1314.917833074081,0,1301.314779515234,1300.601468433337,1296.881033835724,1294.324554014256,0,0,0,0
1,59,1306.610126173338,1307.110870386046,1308.069305522464,1308.182845280056,1306.590469213817,1307.132010694346,1308.691404496547,1311.591614943725,1312.95295873952,1314.917833074081,1317.79412422473,0,1303.457033866001,1301.314779515234,1300.601468433337,1296.881033835724,0,0,0,0
1,60,1307.110870386046,1308.069305522464,1308.182845280056,1306.590469213817,1307.132010694346,1308.691404496547,1311.591614943725,1312.95295873952,1314.917833074081,1317.79412422473,1319.233907265827,0,1306.610126173338,1303.457033866001,1301.314779515234,1300.601468433337,0,0,0,0
1,61,1308.069305522464,1308.182845280056,1306.590469213817,1307.132010694346,1308.691404496547,1311.591614943725,1312.95295873952,1314.917833074081,1317.79412422473,1319.233907265827,1320.207260926191,0,1307.110870386046,1306.610126173338,1303.457033866001,1301.314779515234,0,0,0,0
1,62,1308.182845280056,1306.590469213817,1307.132010694346,1308.691404496547,1311.591614943725,1312.95295873952,1314.917833074081,1317.79412422473,1319.233907265827,1320.207260926191,1322.416692584366,0,1308.069305522464,1307.110870386046,1306.610126173338,1303.457033866001,0,0,0,0
1,63,1306.590469213817,1307.132010694346,1308.691404496547,1311.591614943725,1312.95295873952,1314.917833074081,1317.79412422473,1319.233907265827,1320.207260926191,1322.416692584366,1324.509097051915,0,1308.182845280056,1308.069305522464,1307.110870386046,1306.610126173338,0,0,0,0
1,64,1307.132010694346,1308.691404496547,1311.591614943725,1312.95295873952,1314.917833074081,1317.79412422473,1319.233907265827,1320.207260926191,1322.416692584366,1324.509097051915,1326.414478030445,0,1306.590469213817,1308.182845280056,1308.069305522464,1307.110870386046,0,0,0,0
1,65,1308.691404496547,1311.591614943725,1312.95295873952,1314.917833074081,1317.79412422473,1319.233907265827,1320.207260926191,1322.416692584366,1324.509097051915,1326.414478030445,1329.78990290391,0,1307.132010694346,1306.590469213817,1308.182845280056,1308.069305522464,0,0,0,0
